Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Are you eighteen years of age or older?,,What is the state in which you live?,What is the city  in which you live?,What is your gender?,What is your age?  ,Do you feel tired or energized after being with people?,Do you prefer many relationships or a few close friends?,When you are alone does that drain you or energize you?,Do you prefer to work alone with few interruptions or on a team?,Do you prefer large group activities or small social events?,"On a scale of 1 to 5, 1 being not at all and 5 being an expert, how well do you think you can research topics on the internet?","Please rate on a scale of 1 to 5, 1 being not at all important and 5 being very important, how you important are the following to your learning?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Do you believe critical thinking can be taught?,"When visiting the doctor for a medical issue, what helps you understand your condition the very best?:",When putting together a piece of furniture what do you do first:,"When needing to remember particular points in a discussion, what helps you remember the best? ","If you were going to change the oil in your car and you had no prior knowledge of how to do it, would you:","When relaxing, would you be most likely to:","If you were going to buy a book for an 8-year-old child, would you buy:","You need to learn a new program for editing pictures, so you:","If you are going to the museum, would you be most likely to: ","You are going to an escape room, a scenario in which you use clues to get you out of a room in a certain amount of time. When the time starts, would you be most likely to:","At work there is a meeting that is about the past year’s performance. In leading the meeting, you:	","When it comes to planning for a vacation, you prefer to talk to someone who has:",When you are confused about what to do you:,You want to know how to spell the word conscience. Would you be most likely to?:,"At a restaurant, when ordering do you:","When learning from a text book, do you","When learning about history, which did you like best? "
10749927788,233154035,5/22/2019 21:21,5/22/2019 21:42,206.174.3.233,,,,,Yes,,Alaska,Anchorage,Male,72,Energized,Few,It energizes me,On a team,Small social events,4,,,,4,,,,,4,,,,,,5 Very important,,,3,,,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,Yes,View on a human body model,Read the instructions,Writing down the key points,Watch a video on the internet as you do it,Go on a hike,A picture book,Read the help topics in the program,Get a map,"Flip knobs, push buttons and flip over everything that is not nailed down","Use a strategy tool like SWOT that identifies though discussion the Strengths, Weaknesses, Opportunities and Threats for the next year’s performance",Experience,Use a pros and cons list,Look it up in the dictionary,Ask a friend or waiter what is best,Highlight the words,Detailed stories
10749476875,233154035,5/22/2019 15:42,5/22/2019 15:43,47.154.206.91,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10747134800,233154035,5/21/2019 23:16,5/21/2019 23:26,66.58.152.136,,,,,Yes,,ak,anchorage,Female,78,Tired,Few,It energizes me,Alone,Small social events,4,,,,,5 Very important,,,3,,,,,,4,,,,,4,,,,3,4,,,,,4,,,,,4,,,,,,5 Very important,Yes,Have the doctor describe what is wrong,Read the instructions,Writing down the key points,Read an instruction manual,Read a book,A science book with things to do,Look at diagrams on the internet,Just walk and enjoy whatever path you take,"Look in books, signs and letter for clues","Use a strategy tool like SWOT that identifies though discussion the Strengths, Weaknesses, Opportunities and Threats for the next year’s performance",Experience,Use a pros and cons list,Look it up in the dictionary,Read the descriptions,Highlight the words,"Maps, diagrams and charts"
10746643155,233154035,5/21/2019 16:43,5/21/2019 16:51,72.42.147.59,,,,,Yes,,AK,Anchorage,Female,45,Tired,Few,It drains me,Alone,Small social events,5 - Expert,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,4,,,,,4,,,,,,5 Very important,Yes,Read an information pack,Read the instructions,Real life examples,Call a friend who has changed oil before,Listen to music,A science book with things to do,Read the help topics in the program,Get an audio device that tells you about each exhibit as you walk through,"Find charts, puzzle pieces, look at pictures",Recall past experiences and things that happen,Experience,Use a pros and cons list,Look it up in the dictionary,Read the descriptions,Highlight the words,Detailed stories
10744877806,233154035,5/21/2019 4:52,5/21/2019 4:58,24.181.154.134,,,,,Yes,,Wisconsin,Brule,Female,40,Tired,Few,It energizes me,Alone,Small social events,5 - Expert,,,3,,,,2,,,,,,3,,,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,3,,,,,,,5 Very important,Yes,View on a human body model,Look at the diagrams,Real life examples,Watch a video on the internet as you do it,Go on a hike,A science book with things to do,Just start using the program,Just walk and enjoy whatever path you take,"Look in books, signs and letter for clues",Listen and discuss,Experience,Give attention to how the situation is affecting everyday life,Sound it out,Read the descriptions,Take notes,Detailed stories
10744114186,233154035,5/20/2019 12:26,5/20/2019 21:18,75.164.245.158,,,,,Yes,,Oregon,Salem,Female,70,Tired,Few,It energizes me,Alone,Large group activities,3,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,3,,,,,,4,,Yes,Have the doctor describe what is wrong,Look at the diagrams,Writing down the key points,Read an instruction manual,Read a book,A science book with things to do,Read the help topics in the program,Get an audio device that tells you about each exhibit as you walk through,"Look in books, signs and letter for clues",Listen and discuss,Experience,Discuss the situations with friends,Write it out,Read the descriptions,Take notes,Written Facts
10743622571,233154035,5/20/2019 14:57,5/20/2019 15:17,71.19.210.81,,,,,Yes,,Kansas,Leonardville,Female,53,Tired,Few,It energizes me,Alone,Small social events,3,,,3,,,,,,4,,,,,,5 Very important,,,3,,,,,,4,,,,,4,,,,,4,,,,,4,,Yes,View a diagram,Just start putting it together,Writing down the key points,Watch a video on the internet as you do it,Listen to music,An adventure book with few images,Just start using the program,Just walk and enjoy whatever path you take,"Flip knobs, push buttons and flip over everything that is not nailed down","Use a strategy tool like SWOT that identifies though discussion the Strengths, Weaknesses, Opportunities and Threats for the next year’s performance",Experience,Give attention to how the situation is affecting everyday life,Look it up in the dictionary,Read the descriptions,Take notes,Detailed stories
10743387298,233154035,5/20/2019 12:59,5/20/2019 13:21,172.243.62.196,,,,,Yes,,North Carolina,Shelby,Male,71,Tired,Few,It energizes me,Alone,Small social events,4,,,3,,,,,3,,,,,,,5 Very important,,,,,5 Very important,,,3,,,,,3,,,,2,,,,,2,,,,No,Have the doctor describe what is wrong,Just start putting it together,Writing down the key points,Watch a video on the internet as you do it,Listen to music,A picture book,Read the help topics in the program,Just walk and enjoy whatever path you take,"Look in books, signs and letter for clues",Recall past experiences and things that happen,Experience,Discuss the situations with friends,Look it up in the dictionary,Choose something you have had before,Highlight the words,Detailed stories
10743195857,233154035,5/20/2019 11:39,5/20/2019 11:48,107.77.205.233,,,,,Yes,,Alaska,Anchorage,Female,76,Energized,Many,It drains me,On a team,Small social events,2,,,,,5 Very important,,,,4,,,,,4,,,,,4,,,,,4,,,,,4,,,,3,,,,,3,,,No,Have the doctor describe what is wrong,Get someone who can help you,Real life examples,Call a friend who has changed oil before,Read a book,An adventure book with few images,Read the help topics in the program,,"Look in books, signs and letter for clues",Recall past experiences and things that happen,Experience,Discuss the situations with friends,Look it up in the dictionary,Choose something you have had before,Highlight the words,Written Facts
10743126387,233154035,5/20/2019 11:08,5/20/2019 11:27,72.42.164.250,,,,,Yes,,Alaska,Anchorage,Female,80 on June 20th,Energized,Many,It energizes me,On a team,Large group activities,3,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,3,4,,,,,4,,Yes,Have the doctor describe what is wrong,Read the instructions,Writing down the key points,Read an instruction manual,Read a book,An adventure book with few images,Read the help topics in the program,Get an audio device that tells you about each exhibit as you walk through,"Flip knobs, push buttons and flip over everything that is not nailed down","Use a strategy tool like SWOT that identifies though discussion the Strengths, Weaknesses, Opportunities and Threats for the next year’s performance",Experience,Discuss the situations with friends,Look it up in the dictionary,Read the descriptions,Draw from previously -learned material,Written Facts
10742988052,233154035,5/20/2019 10:18,5/20/2019 10:25,66.223.148.247,,,,,Yes,,Alaska,Anchorage,Female,60,Energized,Few,It energizes me,On a team,Small social events,4,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,Yes,Have the doctor describe what is wrong,Look at the diagrams,Writing down the key points,Watch a video on the internet as you do it,Read a book,A science book with things to do,Just start using the program,Just walk and enjoy whatever path you take,Listen to the sounds and what people are saying,Make a charts and graphs,Experience,Use a pros and cons list,Look it up in the dictionary,Ask a friend or waiter what is best,Highlight the words,Discussing the subject with others
10742979724,233154035,5/20/2019 10:14,5/23/2019 15:54,24.237.194.208,,,,,Yes,,Alaska ,Anchorage ,Female,66,Energized,Few,It energizes me,Alone,Small social events,3,,,,,5 Very important,,,,,5 Very important,,,,4,,1 - Not important,,,,,,,,4,,,,,,5 Very important,,,,,5 Very important,,,,4,,Yes,Have the doctor describe what is wrong,Read the instructions,Writing down the key points,Call a friend who has changed oil before,Read a book,A science book with things to do,Listen to a video on line,Just walk and enjoy whatever path you take,"Flip knobs, push buttons and flip over everything that is not nailed down",Listen and discuss,Experience,Discuss the situations with friends,Write it out,Read the descriptions,Take notes,Detailed stories
10742834458,233154035,5/20/2019 9:21,5/20/2019 9:26,216.137.247.79,,,,,Yes,,alaska,eagle river,Female,79,Energized,Few,It energizes me,On a team,Small social events,4,,,,4,,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,4,,,,,4,,No,Have the doctor describe what is wrong,Read the instructions,Writing down the key points,Watch a video on the internet as you do it,Read a book,A science book with things to do,Look at diagrams on the internet,Get an audio device that tells you about each exhibit as you walk through,Listen to the sounds and what people are saying,Listen and discuss,Facts,Give attention to how the situation is affecting everyday life,Sound it out,Ask a friend or waiter what is best,Take notes,Discussing the subject with others
10742734885,233154035,5/20/2019 8:43,5/20/2019 8:55,72.42.133.20,,,,,Yes,,Alaska,Anchorage,Female,77,Energized,Many,It drains me,On a team,Small social events,4,,,,,5 Very important,,,3,,,,,,4,,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,Yes,View on a human body model,Get someone who can help you,Real life examples,Call a friend who has changed oil before,Read a book,A picture book,Look at diagrams on the internet,Just walk and enjoy whatever path you take,"Find charts, puzzle pieces, look at pictures",Listen and discuss,Experience,Give attention to how the situation is affecting everyday life,Look it up in the dictionary,Read the descriptions,Discuss with other students,Written Facts
10741174250,233154035,5/19/2019 15:47,5/19/2019 15:57,107.2.237.182,,,,,Yes,,Colorado,Denver,Male,32,Energized,Few,It energizes me,On a team,Small social events,5 - Expert,,,,,5 Very important,,,,4,,,,,4,,,,,,5 Very important,,,,,5 Very important,,,,4,,,,,4,,,,,4,,Yes,View on a human body model,Look at the diagrams,Real life examples,Watch a video on the internet as you do it,Go on a hike,An adventure book with few images,Listen to a video on line,Just walk and enjoy whatever path you take,Listen to the sounds and what people are saying,"Use a strategy tool like SWOT that identifies though discussion the Strengths, Weaknesses, Opportunities and Threats for the next year’s performance",Experience,Use a pros and cons list,Write it out,Look at the pictures,Highlight the words,Discussing the subject with others
10741173960,233154035,5/19/2019 15:47,5/19/2019 15:55,107.2.237.182,,,,,Yes,,Colorado,Denver,Female,30,Tired,Few,It energizes me,On a team,Small social events,5 - Expert,,,,4,,,,,,5 Very important,,,,,5 Very important,,,,4,,,,,,5 Very important,,,,,5 Very important,,,,4,,,,,,5 Very important,Yes,Have the doctor describe what is wrong,Read the instructions,Talk with others who were in the discussion,Call a friend who has changed oil before,Read a book,An adventure book with few images,Listen to a video on line,Just walk and enjoy whatever path you take,"Look in books, signs and letter for clues",Listen and discuss,Experience,Discuss the situations with friends,Write it out,Ask a friend or waiter what is best,Draw from previously -learned material,Detailed stories
10741130864,233154035,5/19/2019 14:56,5/19/2019 15:02,107.77.205.40,,,,,Yes,,Alaska,Wasilla,Female,39,Tired,Few,It energizes me,Alone,Small social events,4,,,,4,,,,,4,,,,,4,,,,,4,,,,,4,,,,,4,,,,,4,,,,3,,,No,View a diagram,Look at the diagrams,Writing down the key points,Watch a video on the internet as you do it,Go on a hike,A science book with things to do,Just start using the program,Get a map,"Find charts, puzzle pieces, look at pictures",Recall past experiences and things that happen,Facts,Use a pros and cons list,Look it up in the dictionary,Choose something you have had before,Take notes,Detailed stories
10741122088,233154035,5/19/2019 14:44,5/19/2019 14:52,24.237.213.254,,,,,Yes,,Alaska,Anchorage ,Female,63,Energized,Few,It drains me,Alone,Small social events,4,,,3,,,,,,4,,,,,4,,,2,,,,,,,4,,,,,4,,,,,4,,,,,4,,Yes,Have the doctor describe what is wrong,Read the instructions,Writing down the key points,Call a friend who has changed oil before,Read a book,An adventure book with few images,Look at diagrams on the internet,Just walk and enjoy whatever path you take,"Look in books, signs and letter for clues",Listen and discuss,Visual aids,Make a visual of what is going on and find patterns,Write it out,Read the descriptions,Take notes,"Maps, diagrams and charts"
10740312771,233154035,5/18/2019 19:08,5/18/2019 19:30,24.237.70.101,,,,,Yes,,Alaska,Anchorage,Female,47,Energized,Few,It drains me,On a team,Small social events,3,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,4,,,,,4,,,,,4,,Yes,Have the doctor describe what is wrong,Read the instructions,Real life examples,Call a friend who has changed oil before,Listen to music,An adventure book with few images,Listen to a video on line,Get a map,"Find charts, puzzle pieces, look at pictures","Use a strategy tool like SWOT that identifies though discussion the Strengths, Weaknesses, Opportunities and Threats for the next year’s performance",Experience,Discuss the situations with friends,Look it up in the dictionary,Read the descriptions,Discuss with other students,Discussing the subject with others
10740302602,233154035,5/18/2019 18:49,5/18/2019 18:55,24.237.70.101,,,,,Yes,,Alaska,Anchorage,Male,60,Energized,Few,It drains me,On a team,Small social events,3,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,3,,,,,,4,,,,,,5 Very important,,,,,5 Very important,Yes,Have the doctor describe what is wrong,Read the instructions,Writing down the key points,Call a friend who has changed oil before,Read a book,A book that ask questions,Listen to a video on line,Get an audio device that tells you about each exhibit as you walk through,"Find charts, puzzle pieces, look at pictures","Use a strategy tool like SWOT that identifies though discussion the Strengths, Weaknesses, Opportunities and Threats for the next year’s performance",Facts,Use a pros and cons list,Look it up in the dictionary,Read the descriptions,Take notes,Written Facts
10739382034,233154035,5/17/2019 21:58,5/17/2019 22:05,66.58.146.73,,,,,Yes,,Alaska,Anchorage ,Female,45,Energized,Many,It energizes me,On a team,Small social events,5 - Expert,,,,4,,,,3,,,,,,4,,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,Yes,Have the doctor describe what is wrong,Read the instructions,Writing down the key points,Call a friend who has changed oil before,Go on a hike,A picture book,Just start using the program,Just walk and enjoy whatever path you take,"Flip knobs, push buttons and flip over everything that is not nailed down",Recall past experiences and things that happen,Experience,Discuss the situations with friends,Look it up in the dictionary,Look at the pictures,Highlight the words,Detailed stories
10736896508,233154035,5/16/2019 20:45,5/16/2019 20:46,107.242.121.8,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10736729444,233154035,5/16/2019 18:17,5/16/2019 18:25,174.227.14.192,,,,,Yes,,Florida ,Floral city ,Female,53,Energized,Few,It energizes me,Alone,Small social events,3,,,3,,,,,3,,,,,3,,,,,3,,,,,3,,,,,3,,,,,3,,,,,3,,,Yes,Have the doctor describe what is wrong,Look at the diagrams,Writing down the key points,Call a friend who has changed oil before,Go on a hike,A science book with things to do,Just start using the program,Just walk and enjoy whatever path you take,"Look in books, signs and letter for clues",Make a charts and graphs,Experience,Discuss the situations with friends,Write it out,Choose something you have had before,Take notes,Discussing the subject with others
10735250874,233154035,5/16/2019 7:02,5/16/2019 7:07,71.58.242.70,,,,,Yes,,PA,Chambersburg,Male,37,Energized,Few,It drains me,On a team,Small social events,3,,,,4,,,,,4,,,,,4,,,,3,,,,,,4,,,,,4,,,,3,,,,,,4,,Yes,View on a human body model,Look at the diagrams,Real life examples,Watch a video on the internet as you do it,Go on a hike,A science book with things to do,Listen to a video on line,Just walk and enjoy whatever path you take,"Find charts, puzzle pieces, look at pictures",Recall past experiences and things that happen,Experience,Discuss the situations with friends,See the word in your mind,Ask a friend or waiter what is best,Highlight the words,Detailed stories
10734537894,233154035,5/16/2019 2:14,5/16/2019 2:20,207.144.190.7,,,,,Yes,,Georgia ,Kathleen ,Female,50,Tired,Few,It energizes me,Alone,Small social events,4,,,3,,,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,4,,,,,4,,Yes,Have the doctor describe what is wrong,Read the instructions,Real life examples,Call a friend who has changed oil before,Read a book,A science book with things to do,Just start using the program,Just walk and enjoy whatever path you take,"Look in books, signs and letter for clues",Listen and discuss,Experience,Use a pros and cons list,Write it out,Read the descriptions,Highlight the words,Detailed stories
10734018452,233154035,5/15/2019 19:39,5/15/2019 19:47,174.222.10.193,,,,,Yes,,California ,Redding,Female,55,Tired,Few,It energizes me,Alone,Small social events,4,,,,4,,,,,4,,,,,,5 Very important,,,3,,,,,,4,,,,3,,,,,,,5 Very important,,,,4,,Yes,View a diagram,Read the instructions,"Draw, using color and symbols",Watch a video on the internet as you do it,Read a book,A science book with things to do,Listen to a video on line,Just walk and enjoy whatever path you take,"Look in books, signs and letter for clues",Recall past experiences and things that happen,Experience,Make a visual of what is going on and find patterns,Look it up in the dictionary,Choose something you have had before,Highlight the words,Detailed stories
10734014732,233154035,5/15/2019 19:35,5/15/2019 19:42,132.147.23.133,,,,,Yes,,Alaska ,Alaska ,Female,67,Tired,Few,It energizes me,Alone,Small social events,4,,,,,5 Very important,,,3,,,,,,,5 Very important,,,3,,,,,,4,,,,3,,,,,,,5 Very important,,,,,5 Very important,Yes,View on a human body model,Read the instructions,Real life examples,Read an instruction manual,Go on a hike,A picture book,Read the help topics in the program,Get a map,"Look in books, signs and letter for clues",Recall past experiences and things that happen,Experience,Make a visual of what is going on and find patterns,See the word in your mind,Read the descriptions,Highlight the words,Detailed stories
