,RegionCode,Region,respondent_id,State,gender,age,internet_research,read_1,hear_1,see_1,say_1,do_1,Criticalthinking_1,groups_1,connections_1,CriticalThinking_Taught,AK_Other,Personality,IorE,ExtrovertTrue,sex,MaleTrue,CR_taught,Style,Styl
60,7,Pacific Coastal,10730277059.0,Oregon,M,25.0,4,4,4,3,5,3,4,4,5,Y,Other,6.0,I,False,1.0,True,1,kinstic,4
61,7,Pacific Coastal,10730276761.0,Oregon,F,47.0,3,4,3,4,3,5,4,4,4,Y,Other,6.0,I,False,0.0,False,1,see,2
62,7,Pacific Coastal,10730138499.0,Oregon,M,52.0,3,4,3,4,4,4,3,3,3,Y,Other,6.0,I,False,1.0,True,1,kinstic,4
66,7,Pacific Coastal,10730076438.0,California,M,37.0,4,4,4,2,2,3,5,5,5,Y,Other,7.0,E,True,1.0,True,1,kinstic,4
67,6,Rocky Mountain,10730064876.0,Colorado,M,27.0,5,5,4,4,3,4,4,5,4,Y,Other,7.0,E,True,1.0,True,1,hear,3
68,2,Mid-Atlantic,10730028321.0,Rhode Island,M,26.0,3,5,4,3,2,3,4,3,4,Y,Other,9.0,E,True,1.0,True,1,hear,3
69,7,Pacific Coastal,10730023651.0,Oregon,M,26.0,5,4,3,5,1,5,3,4,4,Y,Other,5.0,I,False,1.0,True,1,kinstic,4
70,5,South-West,10729872187.0,Texas,M,28.0,5,4,3,3,5,5,3,2,3,Y,Other,8.0,E,True,1.0,True,1,r/wr,1
71,7,Pacific Coastal,10729861276.0,Oregon,M,52.0,4,5,4,4,5,5,4,4,5,Y,Other,9.0,E,True,1.0,True,1,r/wr,1
72,5,South-West,10729840635.0,Texas,M,39.0,5,3,4,4,5,5,5,4,5,Y,Other,7.0,E,True,1.0,True,1,kinstic,4
74,7,Pacific Coastal,10729771811.0,California,M,27.0,5,4,4,5,3,5,4,5,4,Y,Other,6.0,I,False,1.0,True,1,kinstic,4
75,10,Country,10729754541.0,Canada,F,27.0,5,3,4,4,5,5,5,5,5,Y,Other,8.0,E,True,0.0,False,1,kinstic,4
78,3,Southern Region,10729738831.0,Florida,F,24.0,5,5,5,5,5,5,5,5,5,Y,Other,6.0,I,False,0.0,False,1,kinstic,4
79,5,South-West,10729719282.0,Texas,F,26.0,5,5,4,4,4,4,5,5,5,Y,Other,6.0,I,False,0.0,False,1,r/wr,1
80,5,South-West,10729717508.0,Oklahoma,M,27.0,4,5,5,5,4,5,5,5,5,Y,Other,7.0,E,True,1.0,True,1,kinstic,4
81,3,Southern Region,10729712073.0,Louisiana,M,25.0,4,5,4,3,4,5,5,3,4,Y,Other,7.0,E,True,1.0,True,1,kinstic,4
83,4,Mid-West,10729708989.0,Wisconsin,F,27.0,4,5,5,5,5,5,5,5,5,Y,Other,6.0,I,False,0.0,False,1,r/wr,1
84,4,Mid-West,10729708955.0,Wisconsin,F,51.0,4,4,4,5,5,5,4,5,5,Y,Other,6.0,I,False,0.0,False,1,kinstic,4
85,4,Mid-West,10729705564.0,Michigan,F,23.0,4,4,4,4,4,5,5,5,5,Y,Other,6.0,I,False,0.0,False,1,see,2
86,3,Southern Region,10729704447.0,Georgia,F,29.0,4,5,3,5,4,5,5,5,5,Y,Other,7.0,E,True,0.0,False,1,kinstic,4
87,8,Alaska,10729470004.0,Alaska,M,49.0,5,5,5,5,5,5,5,1,5,N,AK,7.0,E,True,1.0,True,0,r/wr,1
88,7,Pacific Coastal,10729295955.0,Oregon,F,70.0,3,5,4,3,2,3,4,3,5,Y,Other,6.0,I,False,0.0,False,1,r/wr,1
89,8,Alaska,10729294541.0,Alaska,F,62.0,3,3,3,3,3,3,3,3,3,Y,AK,9.0,E,True,0.0,False,1,kinstic,4
90,8,Alaska,10728916479.0,Alaska,F,27.0,5,5,5,5,5,5,5,4,5,Y,AK,7.0,E,True,0.0,False,1,kinstic,4
91,7,Pacific Coastal,10728889458.0,Washington,F,58.0,4,5,5,5,4,5,4,4,5,Y,Other,9.0,E,True,0.0,False,1,hear,3
92,7,Pacific Coastal,10728779099.0,Washington,F,55.0,3,5,2,3,5,5,5,5,5,Y,Other,6.0,I,False,0.0,False,1,r/wr,1
93,7,Pacific Coastal,10728746913.0,Oregon,F,67.0,4,5,5,5,5,5,5,5,5,Y,Other,8.0,E,True,0.0,False,1,kinstic,4
94,8,Alaska,10728658271.0,Alaska,M,34.0,5,4,4,4,3,5,5,4,5,Y,AK,7.0,E,True,1.0,True,1,kinstic,4
95,3,Southern Region,10728511503.0,Mississippi,M,60.0,5,5,2,5,5,5,5,5,5,Y,Other,7.0,E,True,1.0,True,1,r/wr,1
96,3,Southern Region,10728488050.0,Tennessee,M,50.0,4,4,3,3,2,3,5,5,5,Y,Other,8.0,E,True,1.0,True,1,r/wr,1
98,8,Alaska,10727984659.0,Alaska,F,39.0,4,5,4,3,2,3,5,5,4,Y,AK,7.0,E,True,0.0,False,1,r/wr,1
99,8,Alaska,10727906977.0,Alaska,F,49.0,5,4,4,4,4,4,4,4,4,Y,AK,6.0,I,False,0.0,False,1,hear,3
100,8,Alaska,10727885762.0,Alaska,F,70.0,1,4,4,5,3,5,4,4,5,N,AK,8.0,E,True,0.0,False,0,r/wr,1
101,7,Pacific Coastal,10727875126.0,Oregon,M,61.0,2,2,5,5,5,5,4,4,3,Y,Other,7.0,E,True,1.0,True,1,kinstic,4
102,8,Alaska,10727859553.0,Alaska,F,52.0,3,3,4,4,2,4,5,4,5,Y,AK,7.0,E,True,0.0,False,1,hear,3
104,7,Pacific Coastal,10727825983.0,Washington,F,58.0,4,3,4,5,3,4,3,4,3,Y,Other,6.0,I,False,0.0,False,1,r/wr,1
105,8,Alaska,10727811511.0,Alaska,F,45.0,4,5,5,5,5,5,5,5,5,Y,AK,7.0,E,True,0.0,False,1,r/wr,1
107,7,Pacific Coastal,10727805822.0,Oregon,F,63.0,3,5,3,4,2,4,4,4,4,Y,Other,7.0,E,True,0.0,False,1,r/wr,1
108,8,Alaska,10727805816.0,Alaska,F,60.0,3,4,2,3,4,5,5,5,5,Y,AK,6.0,I,False,0.0,False,1,hear,3
109,8,Alaska,10727768950.0,Alaska,F,48.0,3,5,5,5,5,5,5,5,5,Y,AK,6.0,I,False,0.0,False,1,r/wr,1
110,8,Alaska,10727441134.0,Alaska,F,37.0,4,4,5,4,4,5,3,5,5,Y,AK,8.0,E,True,0.0,False,1,kinstic,4
111,8,Alaska,10727301522.0,Alaska,M,67.0,5,5,5,5,5,5,5,5,5,Y,AK,6.0,I,False,1.0,True,1,r/wr,1
112,6,Rocky Mountain,10727129136.0,Nevada,F,37.0,3,3,4,4,5,4,5,5,4,N,Other,7.0,E,True,0.0,False,0,kinstic,4
113,6,Rocky Mountain,10727025251.0,Colorado,F,18.0,3,5,3,5,4,5,3,4,5,Y,Other,6.0,I,False,0.0,False,1,r/wr,1
114,8,Alaska,10726813727.0,Alaska,F,67.0,4,5,5,5,5,5,5,3,3,Y,AK,9.0,E,True,0.0,False,1,kinstic,4
115,8,Alaska,10726785877.0,Alaska,M,55.0,3,4,2,3,2,3,5,5,5,Y,AK,9.0,E,True,1.0,True,1,r/wr,1
116,7,Pacific Coastal,10726773983.0,Oregon,F,57.0,4,5,4,4,4,3,5,5,5,Y,Other,6.0,I,False,0.0,False,1,kinstic,4
117,8,Alaska,10723745221.0,Alaska,F,40.0,3,5,2,5,4,4,4,3,3,Y,AK,8.0,E,True,0.0,False,1,r/wr,1
118,6,Rocky Mountain,10723637726.0,Colorado,F,54.0,3,5,5,5,4,5,4,4,5,Y,Other,7.0,E,True,0.0,False,1,r/wr,1
119,4,Mid-West,10722701546.0,Missouri,F,51.0,3,5,5,5,5,5,5,4,4,Y,Other,6.0,I,False,0.0,False,1,kinstic,4
120,8,Alaska,10722580009.0,Alaska,F,62.0,2,4,3,5,4,4,4,4,4,Y,AK,6.0,I,False,0.0,False,1,kinstic,4
121,8,Alaska,10722311842.0,Alaska,M,55.0,4,5,5,5,4,5,4,5,5,Y,AK,6.0,I,False,1.0,True,1,r/wr,1
122,8,Alaska,10721256024.0,Alaska,F,61.0,3,3,5,5,3,4,3,4,5,Y,AK,8.0,E,True,0.0,False,1,r/wr,1
123,8,Alaska,10720172812.0,Alaska,F,55.0,5,5,5,5,5,5,5,5,5,Y,AK,7.0,E,True,0.0,False,1,kinstic,4
124,6,Rocky Mountain,10720121743.0,Montana,F,37.0,4,5,4,3,2,4,5,3,3,Y,Other,6.0,I,False,0.0,False,1,kinstic,4
125,2,Mid-Atlantic,10720090144.0,New Hampshire,F,54.0,4,5,4,3,4,4,3,4,4,Y,Other,7.0,E,True,0.0,False,1,r/wr,1
126,8,Alaska,10720083487.0,Alaska,F,23.0,3,4,3,5,2,3,2,3,4,Y,AK,8.0,E,True,0.0,False,1,kinstic,4
127,7,Pacific Coastal,10720048724.0,California,F,25.0,5,5,4,4,4,4,5,5,5,Y,Other,7.0,E,True,0.0,False,1,kinstic,4
128,6,Rocky Mountain,10718195603.0,Colorado,F,59.0,4,5,4,4,4,5,5,5,5,Y,Other,7.0,E,True,0.0,False,1,kinstic,4
129,7,Pacific Coastal,10717649315.0,Oregon,F,48.0,3,5,3,5,5,5,5,3,4,Y,Other,6.0,I,False,0.0,False,1,see,2
130,8,Alaska,10717627555.0,Alaska,F,64.0,3,5,4,3,3,3,4,4,4,Y,AK,7.0,E,True,0.0,False,1,r/wr,1
131,4,Mid-West,10717595169.0,Missouri,F,51.0,5,5,3,4,2,4,5,5,5,Y,Other,9.0,E,True,0.0,False,1,kinstic,4
132,6,Rocky Mountain,10717527052.0,Colorado,F,19.0,4,4,4,5,3,4,4,5,5,Y,Other,6.0,I,False,0.0,False,1,kinstic,4
133,8,Alaska,10717463242.0,Alaska,F,18.0,5,4,4,4,4,4,5,4,4,Y,AK,6.0,I,False,0.0,False,1,r/wr,1
134,10,Country,10717428032.0,Indonesia,M,46.0,4,5,5,5,5,5,5,3,4,N,Other,6.0,I,False,1.0,True,0,kinstic,4
135,6,Rocky Mountain,10717412548.0,Colorado,F,43.0,4,5,4,5,3,3,3,4,3,Y,Other,6.0,I,False,0.0,False,1,r/wr,1
136,8,Alaska,10717406334.0,Alaska,F,55.0,4,5,3,5,3,5,5,5,5,Y,AK,6.0,I,False,0.0,False,1,r/wr,1
137,8,Alaska,10717242670.0,Alaska,F,64.0,3,5,3,4,5,5,3,5,4,Y,AK,6.0,I,False,0.0,False,1,r/wr,1
138,3,Southern Region,10717133616.0,North Carolina,F,42.0,4,3,5,5,2,5,4,3,4,Y,Other,7.0,E,True,0.0,False,1,kinstic,4
139,7,Pacific Coastal,10717099476.0,Oregon,F,27.0,4,5,4,4,5,5,5,4,5,Y,Other,7.0,E,True,0.0,False,1,r/wr,1
140,8,Alaska,10717037026.0,Alaska,F,53.0,5,5,2,5,5,5,5,4,5,N,AK,6.0,I,False,0.0,False,0,kinstic,4
141,4,Mid-West,10717011437.0,Minnesota,F,27.0,5,5,4,5,1,3,5,3,5,Y,Other,6.0,I,False,0.0,False,1,see,2
142,8,Alaska,10716726478.0,Alaska,F,60.0,4,5,5,5,5,5,3,5,4,Y,AK,9.0,E,True,0.0,False,1,r/wr,1
143,8,Alaska,10716648398.0,Alaska,M,43.0,2,2,5,5,5,5,4,2,3,Y,AK,7.0,E,True,1.0,True,1,kinstic,4
145,6,Rocky Mountain,10716481783.0,Colorado,F,45.0,4,5,4,4,4,4,4,5,5,Y,Other,6.0,I,False,0.0,False,1,r/wr,1
146,8,Alaska,10716378836.0,Alaska,F,41.0,3,4,4,3,5,5,4,5,5,Y,AK,9.0,E,True,0.0,False,1,r/wr,1
147,8,Alaska,10716244412.0,Alaska,F,23.0,4,5,4,5,3,4,4,4,4,Y,AK,6.0,I,False,0.0,False,1,kinstic,4
148,7,Pacific Coastal,10716198758.0,Washington,F,32.0,4,5,4,5,5,5,5,4,4,N,Other,6.0,I,False,0.0,False,0,r/wr,1
149,7,Pacific Coastal,10716143375.0,Oregon,F,53.0,3,3,3,3,4,3,4,4,3,Y,Other,7.0,E,True,0.0,False,1,hear,3
150,8,Alaska,10716066011.0,Alaska,M,76.0,3,5,3,3,3,3,4,4,4,N,AK,7.0,E,True,1.0,True,0,kinstic,4
151,8,Alaska,10716024550.0,Alaska,M,67.0,3,4,4,4,4,4,4,2,3,Y,AK,7.0,E,True,1.0,True,1,kinstic,4
152,8,Alaska,10714554477.0,Alaska,F,23.0,4,3,3,4,2,4,3,5,4,Y,AK,6.0,I,False,0.0,False,1,kinstic,4
153,8,Alaska,10714477240.0,Alaska,F,51.0,4,2,3,4,5,5,4,4,5,Y,AK,6.0,I,False,0.0,False,1,see,2
154,7,Pacific Coastal,10714414406.0,Washington,M,27.0,5,5,5,5,5,5,5,5,5,Y,Other,8.0,E,True,1.0,True,1,kinstic,4
155,7,Pacific Coastal,10714394650.0,Washington,F,25.0,2,5,5,5,3,5,2,2,4,Y,Other,7.0,E,True,0.0,False,1,kinstic,4
156,8,Alaska,10714389279.0,Alaska,M,52.0,4,2,5,5,5,5,4,5,5,Y,AK,9.0,E,True,1.0,True,1,see,2
157,8,Alaska,10714387047.0,Alaska,F,26.0,4,4,4,4,5,5,5,4,4,Y,AK,8.0,E,True,0.0,False,1,hear,3
158,8,Alaska,10714385237.0,Alaska,F,25.0,3,3,4,5,4,5,3,3,4,Y,AK,7.0,E,True,0.0,False,1,kinstic,4
